path,mean_intensity,std_intensity,min_intensity,max_intensity,skewness,kurtosis,entropy,haralick_1,haralick_2,haralick_3,haralick_4,haralick_5,haralick_6,haralick_7,haralick_8,haralick_9,haralick_10,haralick_11,haralick_12,haralick_13
DATA\Equalized2_Color\Test\barrel_jellyfish\08.jpg,130.8463209502551,71.20810871038942,0,255,-0.022815359593416993,-1.1263567525115212,7.356439906336424,0.0025234563018726014,361.8251877183262,0.964185404264095,5052.417409044744,0.30264761656007133,262.74724868160433,19847.844448460648,8.478179146516476,11.80938918722507,0.00031759510859169276,4.493215479966626,-0.3957072665131621,0.9983983522388644
DATA\Equalized2_Color\Test\barrel_jellyfish\16.jpg,128.75783242984693,72.50136187225021,3,250,-0.013790717506065498,-1.2291973785953818,7.701697400731639,0.0013216977785037588,55.865760232962664,0.9946774980519911,5248.786957751087,0.44214695816822114,258.13283357404276,20939.28207077138,8.71217223686731,11.260170931859898,0.0006572132705494931,3.2670069002187105,-0.5380946789194097,0.999860690395689
DATA\Equalized2_Color\Test\barrel_jellyfish\23.jpg,128.7420878507653,72.94325314370616,2,254,-0.014730546758762302,-1.1954292286368537,7.912240734652193,0.00035691137549285427,541.9494731758632,0.9490803986707043,5322.023538419564,0.24342765876769926,258.08084135209265,20746.14468050239,8.926116926816206,12.975474338529079,0.0002551832370420126,4.816249788119176,-0.3601956250621371,0.9982121706837017
DATA\Equalized2_Color\Test\barrel_jellyfish\43.jpg,128.89407286352042,72.55305720394877,2,254,0.002661395287884342,-1.2271673096329538,7.634525211698829,0.0020084841076648107,131.73624814350924,0.9874676898156738,5255.468711585703,0.5026803746523357,258.25105087431024,20890.138598199297,8.632229173845703,10.846630631509477,0.0008012052548965088,3.0671210440504284,-0.5794876994251044,0.999920943033228
DATA\Equalized2_Color\Test\barrel_jellyfish\50.jpg,131.95350366709184,71.30368973317047,3,255,-0.05669897236260446,-1.152732508999413,7.020252305263325,0.004135825385834794,552.2289700578923,0.9458513447781142,5099.128554108173,0.4187785065945735,264.29316823522777,19844.28524637479,8.162966812587545,10.771568071744124,0.0005451127742692727,3.9552317389883402,-0.4669610827724304,0.9991975844714596
DATA\Equalized2_Color\Test\blue_jellyfish\10.jpg,128.05955038265307,73.14479907910989,1,251,-0.030137778652694434,-1.2245960923013972,7.910215372322106,0.0002667269738270516,214.90860753228935,0.9798449880293161,5334.543131246823,0.1863840513375949,256.40534664398905,21123.263917454995,8.909528937504444,13.049701051564146,0.00022089712622235715,4.663952465438443,-0.3503616236921654,0.9978212489858636
DATA\Equalized2_Color\Test\blue_jellyfish\14.jpg,128.31911670918367,72.07040295964576,6,253,-0.02789226544526079,-1.240490947222343,7.859942436798872,0.00014027545078816467,805.3435825298117,0.9224907869971736,5195.1444766438335,0.11190498404454487,256.721112851297,19975.234324045497,8.866546876184099,13.787635324036234,0.00011542015845999437,5.5392552958484025,-0.24584866525596122,0.9890788966813615
DATA\Equalized2_Color\Test\blue_jellyfish\19.jpg,128.2331991390306,72.94656003234928,1,250,-0.031225419320232036,-1.216129701262154,7.903169839830254,0.0003487231427861864,146.5534914190269,0.9862090461127958,5314.502085832233,0.1964554459738993,256.931336482126,21111.454851909883,8.911223158465008,12.85173541614173,0.00024520407260080054,4.456708792013418,-0.3738233112346957,0.9984523659732529
DATA\Equalized2_Color\Test\blue_jellyfish\24.jpg,131.86086973852042,68.85357685459869,1,253,0.08656005266623977,-1.1966734207646297,6.944975397826362,0.011721207829417919,155.15921580681584,0.9835679781246138,4722.743031476171,0.3931778606926839,264.7922345810723,18735.81291009784,7.937616713578234,10.796143029997078,0.0004928153207594388,3.9331368494384438,-0.4484730976464266,0.9989258330110212
DATA\Equalized2_Color\Test\blue_jellyfish\47.jpg,129.8085339604592,73.19352024575784,0,255,-0.041990397428898124,-1.1961033685873539,7.929536968902287,4.801152433589885e-05,3677.3723301948357,0.6564460953784161,5352.389095439275,0.046364879162562225,259.9367506034494,17732.184051562235,8.937755208052739,14.851901717622107,3.195634249628668e-05,6.854626972286832,-0.12702440180398342,0.9290509201494137
